Product URL,Product Name,Product Price,Rating,Number of Reviews,availability,ASIN,Product Description,Manufacturer
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTBYNHF,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679,"4,921 ratings",4.0 out of 5 stars,,B09VTBYNHF,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",Brand: FUR JADEN
https://www.amazon.in/Victorinox-Victoria-Signature-Backpack-612201/dp/B0936J74KR,"Victorinox Victoria Signature Women Deluxe Backpack, 15'' Laptop & 10'' Tablet Pocket, Black, Swiss designed (612201)","₹25,860",1 rating,5.0 out of 5 stars,Only 1 left in stock,B0936J74KR,"PREMIUM. PROFESSIONAL. PRACTICAL. Victorinox presents the Victoria Signature collection that elevates our Victoria 2.0 styles while also giving a nod to the Swiss heritage. Each piece features the actual signature of the founder's mother, Victoria Elsener, engraved on a leather patch. With the discrete V motif, dedicated organization, sleek construction and removable pouch, these bags take versatile business functionality to sensational new heights. Each piece takes you effortlessly from work to play. And beyond.",Visit the Victorinox Store
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"₹1,199.00","55,005 ratings",4.0 out of 5 stars,In stock,B07CJCGM1M,No Description,Brand: American Tourister
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹550.00,"11,841 ratings",4.3 out of 5 stars,Available to ship in 1-2 days,B084JGJ8PF,No Description,Brand: Wesley
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,Skybags Brat Black 46 Cms Casual Backpack,₹669,"5,188 ratings",4.1 out of 5 stars,In stock,B08Z1HHHTD,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",Visit the Skybags Store
https://www.amazon.in/Sirona-Sanitary-Napkin-Diapers-Disposal/dp/B01NAZVN8M,"Sirona Sanitary Disposal Bags | 75 Bags | Pad Disposable Bags for Discreet Disposal of Tampons, Condoms, Diaper, Sanitary Pads, Panty Liner & Personal Hygiene Waste (Green)",₹211.00,"2,922 ratings",4.5 out of 5 stars,In stock,B01NAZVN8M,"Now Bigger & Better! Worried about disposing your Sanitary & Intimate Products? Made in India, 'I Love Clean' by SIRONA are Cute Oxo BioDegradable Disposable Sanitary Bags & are best for Hygienic Disposal of Intimate Care Products (Sanitary Pads, Tampons, Panty Liners, Baby Diapers, Condoms, PeeBuddy) or General products (which need discreet disposal). No More Black Plastic Bags, No More Newspaper. Now use I LOVE CLEAN. The bags are tear resistant and seal perfectly to ensure zero bad odour or leakage.",Visit the Sirona Store
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹649,"16,585 ratings",3.9 out of 5 stars,In stock,B085MHDJ93,No Description,Visit the Half Moon Store
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Brown),₹987,"5,919 ratings",4.4 out of 5 stars,In stock,B07G4F6XFH,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",Visit the Gear Store
https://www.amazon.in/Hammonds-Flycatcher-Genuine-Leather-Messenger/dp/B093KHDT8X,HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel,"₹5,255.00",571 ratings,4.4 out of 5 stars,In stock,B083M1QK32,No Description,Visit the HAMMONDS FLYCATCHER Store
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCL8D6S,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,"3,224 ratings",3.9 out of 5 stars,In stock,B09VCL8D6S,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",Visit the Half Moon Store
